선수,출신학교
구자욱,본리초경복중대구고
오승환,도신초우신중경기고단국대
피렐라,베네수엘라고
뷰캐넌,미국대
수아레즈,베네수엘라고
강민호,제주신광초포철중포철공고국제디지털대
와이드너,
오재일,인창초구리구리인창중야탑고
백정현,옥산초대구중상원고
원태인,율하초중구경복중경북고
우규민,성동초휘문중휘문고
김태훈,남부민초대신중부경고
김지찬,이천모가중라온고
류지혁,청원초선린중충암고
강한울,사당초중앙중안산공고원광대
최채흥,동천초포항중상원고한양대
최지광,감천초대신중부산고
김헌곤,회원초경복중제주고영남대
이승현,화순초진흥중화순고
김동엽,남산초천안북중북일고
장필준,온양온천초온양중북일고
이승현,남도초경복중상원고
김현준,부산진구센텀중개성고
이상민,남도초수성대구중경북고동의대
김재성,신광초성남중덕수고
김대우,역삼초대치중서울고홍익대
홍정우,도신초강남중충암고
문용익,고양덕양양천중청원고세계사이버대
이재현,서울이수초선린중서울고
이재익,삼일초중앙중유신고
김호재,도곡초서울이수중장충고
최충연,대구수창초대구중경북고
허윤동,고양덕양금릉중유신고
김민수,옥산초경복중상원고영남대
김도환,의정부영동중신일고
양창섭,노원청량중덕수고
노건우,서흥초상인천중화순고동국대
송준석,서울청구초배명중장충고대구사이버대
이성규,광주대성초광주동성중광주동성고인하대
최형우,진북초전주동중전주고
나성범,대성초진흥중진흥고연세대
앤더슨,
양현종,광주학강초광주동성중광주동성고
소크라테스,도미니카고
김선빈,화순초화순중화순고
파노니,
메디나,
산체스,
정해영,대성초광주동성중광주제일고
최원준,연현초경원중서울고
김태군,양정초대동중부산고방송통신대
박찬호,신답초건대부중장충고
장현식,신도초서울이수중서울고
김대유,중앙초부산중부산고
임기영,대구수창초경운중경북고
이의리,수창초충장중광주제일고
이준영,군산남초군산중군산상고중앙대
이창진,신도초동인천중인천고건국대
전상현,남도초경복중상원고
황대인,군산신풍초자양중경기고
박준표,송정동초진흥중중앙고동강대
한승택,남양주잠신중덕수고
윤중현,광주서석초무등중광주제일고성균관대
김호령,안산관산초안산중앙중군산상고동국대
고종욱,역삼초대치중경기고한양대
김재열,양정초개성중부산고
이우성,대전유천초한밭중대전고
고영창,서림초진흥중진흥고연세대
김기훈,광주수창초무등중광주동성고
김도영,광주대성초광주동성중광주동성고
주효상,역북초강남중서울고
김승현,노암초경포중강릉고
김규성,갈산초선린중선린고
최정용,서원초세광중세광고
김유신,화순초청주중세광고
유승철,순천북초순천이수중효천고
신범수,광주대성초광주동성중광주동성고
박정우,역삼초언북중덕수고
김재환,영랑초상인천중인천고
허경민,송정동초충장중광주제일고
로하스,
정수빈,신곡초수원북중유신고
알칸타라,
김재호,남정초중앙중중앙고
딜런,
양석환,백운초신일중신일고동국대
최원준,수유초신일중신일고동국대
홍건희,화순초화순중화순고
양의지,송정동초무등중진흥고
브랜든,
강승호,순천북초천안북중북일고
김강률,문촌초일산장성중경기고
김명신,남도초대구중경북고경성대
곽빈,서울학동초자양중배명고
이영하,영일초강남중선린고
박치국,숭의초신흥중제물포고
정철원,역북초용인송전중안산공고
김인태,포철서초천안북중북일고
박계범,순천북초서울이수중효천고대구사이버대
이승진,수원신곡초매송중야탑고
조수행,노암초경포중강릉고건국대
이형범,화순초화순중화순고
김지용,노원청량중중앙고영동대
박준영,도곡초남양주잠신중경기고
최승용,양오초모가중소래고
이유찬,동막초천안북중북일고
장승현,서림초동산중제물포고
김민규,광진잠신중휘문고
안재석,성내초배재중서울고
장원준,수영초대동중부산고영남사이버대
안승한,남정초선린중충암고동아대
박정수,서울청구초서울이수중야탑고
김민혁,광주대성초광주동성중광주동성고
김대한,숭인초강북덕수중휘문고
양찬열,서울상수초건대부중장충고단국대
신성현,가동초덕수중일본교토고쿠사이고
박소준,우암초청주중청주고
추신수,수영초부산중부산고
김광현,안산덕성초안산중앙중안산공고
최정,대일초평촌중유신고
에레디아,
로메로,
문승원,가동초배명중배명고고려대
최주환,광주학강초광주동성중광주동성고
맥카티,
엘리아스,
박종훈,중앙초군산중군산상고
한유섬,중앙초해운대대천중경남고경성대
최지훈,광주수창초무등중광주제일고동국대
박성한,순천북초여수중효천고
서진용,남부민초대동중경남고
노경은,화곡초성남중성남고
김강민,본리초대구중경북고
김성현,송정동초충장중광주제일고
김민식,양덕초마산중마산고원광대
오원석,수진초매송중야탑고
최민준,수영초경남중경남고
이재원,숭의초상인천중인천고
오태곤,쌍문초신월중청원고
박민호,인천동막초동인천중인천고인하대
전의산,수영초개성중경남고
고효준,서원초세광중세광고
강진성,가동초잠신중경기고
김태훈,구리구리인창중구리인창고
이흥련,상탑초매송중야탑고홍익대
서동민,율하초경복중대구고
하재훈,양덕초마산동중용마고
정성곤,역삼초휘문중구리인창고
최경모,본리초경운중경북고홍익대
김찬형,양정초경남중경남고
최준우,방배초대치중장충고
임준섭,대연초부산중개성고경성대
안상현,사파초선린중용마고
이현석,노암초대헌중제물포고동국대
조형우,송정동초무등중광주제일고
전경원,연현초성남중성남고
켈리,미국고
김현수,쌍문초신일중신일고
플럿코,미국대
오지환,군산초자양중경기고
박해민,영중초양천중신일고한양대
고우석,갈산초양천중충암고
정우영,가평초강남중서울고
오스틴,
최원태,인헌초용산경원중서울고
박동원,양정초개성중개성고
홍창기,대일초매송중안산공고건국대
진해수,동삼초경남중부경고
이정용,영일초성남중성남고동아대
김진성,인헌초성남중성남서고
서건창,송정초충장중광주제일고
김민성,고명초잠신중덕수정보고영남사이버대
문보경,동대문덕수중신일고
임찬규,가동초청원중휘문고
김윤식,광주서석초무등중진흥고
이민호,서울학동초대치중휘문고
송은범,서흥초동산중동산고
최성훈,가동초잠신중경기고경희대
이우찬,온양온천초온양중북일고
최동환,인헌초선린중경동고
허도환,서울학동초서울이수중서울고단국대
함덕주,일산초원주중원주고
문성주,포철서초포철중경북고강릉영동대
김유영,양정초개성중경남고
윤호솔,온양온천초온양중북일고
이재원,석교초경원중서울고
이천웅,군산남초성일중성남서고고려대
배재준,본리초경상중상원고
정주현,울산대현초경상중대구고
김대현,홍연초마포홍은중선린고
안익훈,대전신흥초충남중대전고
이상영,수영초개성중부산고
신민재,서흥초동인천중인천고
손호영,부곡초평촌중충훈고홍익대
백승현,소래초상인천중인천고
박세웅,경운초경운중경북고
스트레일리,미국고미국대
렉스,
반즈,미국대
유강남,청원초휘문중서울고
안치홍,구리대치중서울고
전준우,흥무초경주중경주고건국대
노진혁,대성초광주동성중광주동성고성균관대
구드럼,
정훈,양덕초마산동중용마고
김원중,광주학강초광주동성중광주동성고
윌커슨,
구승민,동일초청원중청원고홍익대
한현희,동삼초경남중경남고
한동희,대연초경남중경남고
최준용,수영초대천중경남고
이인복,희망대초성일중서울고연세대
김상수,자이언츠자양중신일고
나균안,무학초신월중용마고
서준원,부산북구개성중경남고
김도규,충암중안산공고
심재민,김해엔젤스개성중개성고전남과학대
안권수,
지시완,우암초청주중청주고
고승민,군산신풍초배명중북일고
이학주,하안북초홍은중충암고
황성빈,관산초안산중앙중소래고경남대
문경찬,부천북초동인천중인천고건국대
신정락,남산초천안북중북일고고려대
박승욱,칠성초경복중상원고
김민수,서화초동산중제물포고
윤명준,광주서석초광주동성중광주동성고고려대
정보근,수영초경남중경남고
김진욱,수원신곡초춘천중강릉고
신윤후,무학초마산중마산고동의대
정태승,길동초춘천중유신고성균관대
차우찬,군산초군산남중군산상고대구사이버대
이민석,수영초대천중개성고
최설우,감천초대동중개성고동아대
채은성,순천북초순천이수중효천고
최재훈,화곡초덕수중덕수고방송통신대
오그레디,
스미스,
이태양,여수서초여수중효천고
페냐,
정우람,하단초대동중부경고
산체스,
장시환,태안초태안중북일고
윌리엄스,
김민우,사파초마산중용마고
정은원,상인천초상인천중인천고
강재민,양덕초마산중용마고단국대
김범수,온양온천초온양중북일고
박상원,백운초서울이수중휘문고연세대
노시환,수영초경남중경남고
장민재,광주화정초무등중광주제일고
노수광,유천초청주중청주고건국대
오선진,화곡초성남중성남고
하주석,강남초덕수중신일고
윤대경,서림초동인천중인천고
김종수,성동초덕수중울산공고
김인환,화순초화순중화순고성균관대
한승혁,도신초강남중덕수고
김태연,서울청구초덕수중야탑고
장진혁,광주화정초충장중광주제일고단국대
주현상,우암초청주중청주고동아대
김재영,방배초영동중서울고홍익대
채은성,순천북초순천이수중효천고
최재훈,화곡초덕수중덕수고방송통신대
오그레디,
스미스,
이태양,여수서초여수중효천고
페냐,
정우람,하단초대동중부경고
산체스,
장시환,태안초태안중북일고
윌리엄스,
김민우,사파초마산중용마고
정은원,상인천초상인천중인천고
강재민,양덕초마산중용마고단국대
김범수,온양온천초온양중북일고
박상원,백운초서울이수중휘문고연세대
노시환,수영초경남중경남고
장민재,광주화정초무등중광주제일고
노수광,유천초청주중청주고건국대
오선진,화곡초성남중성남고
하주석,강남초덕수중신일고
윤대경,서림초동인천중인천고
김종수,성동초덕수중울산공고
김인환,화순초화순중화순고성균관대
한승혁,도신초강남중덕수고
김태연,서울청구초덕수중야탑고
장진혁,광주화정초충장중광주제일고단국대
주현상,우암초청주중청주고동아대
김재영,방배초영동중서울고홍익대
이민우,순천북초순천이수중효천고경성대
장운호,중대초배명중배재고
이명기,서화초상인천중인천고
윤산흠,광주화정초진흥중영선고
이성곤,성동초잠신중경기고연세대
남지민,양정초개성중부산정보고
박정현,부천북초부천중유신고
이진영,둔촌초선린중선린고
최인호,송정동초광주동성중포철고
박상언,무원초영남중유신고
김기중,부곡초매송중유신고
박세혁,수유초신일중신일고고려대
박건우,역삼초서울이수중서울고
페디,
마틴,
박세혁,수유초신일중신일고고려대
구창모,남산초덕수중울산공고
손아섭,양정초개성중부산고
이용찬,신원초양천중장충고
이재학,옥산초경복중대구고
태너,
심창민,동삼초경남중경남고대구사이버대
김영규,광주서석초무등중광주제일고
신민혁,강서매향중야탑고
송명기,하남건대부중장충고
김성욱,서림초충장중진흥고
권희동,동천초경주중경주고경남대
임정호,성동초잠신중신일고성균관대
배재환,가동초잠신중서울고
김시훈,양덕초마산동중마산고
김주원,삼일초안산중앙중유신고
하준영,이수초성남중성남고
류진욱,양정초개성중부산고
최성영,영랑초설악중설악고
최정원,서원초청주중청주고
오영수,사파초신월중용마고
안중열,가야초개성중부산고
김진호,부곡초성일중광주동성고
배민서,대구수창초경운중상원고
김형준,가동초세광중세광고
이민호,수영초부산중부산고
박석민,율하초경복중대구고대구사이버대
도태훈,양정초개성중부산고동의대
정진기,화순초화순중화순고
서호철,순천남산초순천이수중효천고동의대
권정웅,이수초영동중덕수고한양대
박대온,도곡초서울이수중휘문고
윤형준,서림초무등중진흥고
한석현,대천중경남고
채원후,광주학강초광주동성중광주제일고
벤자민,
알포드,
황재균,사당초서울이수중경기고영남사이버대
박병호,영일초광명영남중성남고
슐서,
김상수,옥산초경복중경북고대구사이버대
장성우,감천초경남중경남고영남사이버대
쿠에바스,베네수엘라대
고영표,대성초광주동성중화순고동국대
김재윤,도곡초휘문중휘문고
배정대,도신초디지털문예대성남중성남고
소형준,의정부구리인창중유신고
조용호,성동초잠신중야탑고단국대
주권,우암초청주중청주고
강백호,부천북초서울이수중서울고
김민수,청원초청원중청원고성균관대
박경수,미성초성남중성남고방송통신대
배제성,백마초성남중성남고
엄상백,역삼초언북중덕수고
김민혁,서석초배재중배재고
신본기,감천초경남중경남고동아대
오윤석,화중초자양중경기고연세대
김준태,양정초개성중경남고영남사이버대
박시영,축현초신흥중제물포고영남사이버대
조현우,중앙초군산중군산상고전남과학대
이상호,옥산초경운중상원고영동대
조이현,송정동초배재중제주고
송민섭,청파초선린중선린고단국대
박영현,부천북초부천중유신고
이채호,김해엔젤스양산원동중용마고
김민,숭의초평촌중유신고
이호연,광주수창초진흥중광주제일고성균관대
문상철,중대초잠신중배명고고려대
장준원,경운초김해엔젤스개성중경남고
손동현,강서덕수중성남고
홍현빈,신곡초매송중유신고
김병희,창영초신흥중동산고동국대
하준호,하단초대동중경남고
김태오,연현초양천중서울고
요키시,미국대
이정후,광주서석초휘문중휘문고
후라도,
러셀,
이지영,서화초신흥중제물포고경성대
원종현,중앙초군산중군산상고
김혜성,고양동산중동산고
홍원기,공주중동초공주중공주고고려대
안우진,강남초서울이수중휘문고
이용규,성동초잠신중덕수정보고
김재웅,남양주자양중덕수고
이원석,광주학강초광주동성중광주동성고
홍성민,노암초경포중강릉고한양대
이승호,삼성초개성중경남고
송성문,봉천초용산홍은중장충고
이형종,화곡초양천중서울고
김태진,수유초신일중신일고
임창민,대성초광주동성중광주동성고연세대
맥키니,
정찬헌,송정동초충장중광주제일고
김준완,길동초건대부중장충고고려대
양현,영랑초한밭중대전고
도슨,
전병우,동삼초경남중개성고동아대
김휘집,양목초대치중신일고
김선기,석교초세광중세광고
문성현,남정초선린중충암고
이영준,영일초영남중덕수고단국대
김재현,진북초전라중대전고
김동혁,강남영동중덕수고
하영민,수창초진흥중진흥고
김웅빈,서라벌초울산제일중울산공고
임병욱,신곡초배명중덕수고
김주형,양정초경남중경남고홍익대
박준태,대연초부산중개성고인하대
임지열,신흥초건대부중덕수고
신준우,대구수창초경운중대구고
이명종,석교초세광중세광고
박승주,언북중경기고동국대
